date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-09-04,13:29:18.262703,13:29:22.145347,00082ECFD2,L1,go,2,7KHZ.npz,miss,[]
2025-09-04,15:25:11.072511,15:25:14.896201,00082ED4D6,L1,go,2,7KHZ.npz,miss,[]
2025-09-04,15:33:00.790748,15:33:04.616150,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:38:07.591539,15:38:11.395151,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:38:07.638692', '15:38:07.803283', '15:38:10.452815']"
2025-09-04,15:38:13.375859,15:38:17.193571,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:38:14.699800', '15:38:14.944746', '15:38:15.110506']"
2025-09-04,15:38:18.899023,15:38:21.180602,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:38:19.525392', '15:38:19.692708', '15:38:19.858790', '15:38:20.025307', '15:38:20.188323', '15:38:20.351325']"
2025-09-04,15:38:22.530205,15:38:24.449764,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:38:22.586330', '15:38:22.829426', '15:38:22.992589', '15:38:23.155644', '15:38:23.403122', '15:38:23.568789']"
2025-09-04,15:38:29.478633,15:38:31.837125,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:38:30.010826', '15:38:30.254845', '15:38:30.502886', '15:38:30.669382', '15:38:30.835349', '15:38:30.999371']"
2025-09-04,15:38:36.913136,15:38:40.766694,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:38:37.367661', '15:38:37.532130', '15:38:37.696984', '15:38:37.861183', '15:38:38.830435']"
2025-09-04,15:38:43.862419,15:38:46.180100,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:38:44.399485', '15:38:44.564399', '15:38:44.812235', '15:38:44.978720', '15:38:45.145327', '15:38:45.310880']"
2025-09-04,15:38:48.461005,15:38:52.297103,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:38:48.509168', '15:38:48.913607', '15:38:49.082781', '15:38:49.247615', '15:38:49.412074']"
2025-09-04,15:38:55.480891,15:39:04.205238,00082ED4D6,L1,no-go,3,14KHZ.npz,fa,"['15:38:56.568306', '15:38:56.732820', '15:38:56.898268', '15:38:57.061664', '15:38:57.224666', '15:38:57.387901']"
2025-09-04,15:39:08.397824,15:39:12.292407,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:39:11.266320', '15:39:11.433038']"
2025-09-04,15:39:20.928993,15:39:23.244813,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:39:21.571430', '15:39:21.734304', '15:39:21.898363', '15:39:22.063356', '15:39:22.226604', '15:39:22.389638']"
2025-09-04,15:39:27.773773,15:39:30.215126,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:39:28.383249', '15:39:28.628444', '15:39:28.873752', '15:39:29.037908', '15:39:29.201969', '15:39:29.366281']"
2025-09-04,15:39:36.837431,15:39:39.148547,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:39:37.364396', '15:39:37.529128', '15:39:37.773302', '15:39:37.938378', '15:39:38.101651', '15:39:38.264531']"
2025-09-04,15:39:44.491124,15:39:46.816883,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:39:45.112706', '15:39:45.275774', '15:39:45.438806', '15:39:45.601901', '15:39:45.764963', '15:39:45.927985']"
2025-09-04,15:39:48.749313,15:39:52.564618,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:39:56.057860,15:39:59.963728,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:39:58.764776', '15:39:58.931800', '15:39:59.097449']"
2025-09-04,15:40:01.603414,15:40:03.973819,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:40:02.137123', '15:40:02.381539', '15:40:02.627733', '15:40:02.790772', '15:40:02.953846', '15:40:03.117237']"
2025-09-04,15:40:06.134970,15:40:08.598078,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:40:06.674837', '15:40:07.004430', '15:40:07.169894', '15:40:07.413126', '15:40:07.576498', '15:40:07.739437']"
2025-09-04,15:40:13.582506,15:40:22.975850,00082ED4D6,L1,no-go,3,14KHZ.npz,fa,"['15:40:15.239651', '15:40:15.403663', '15:40:15.647004', '15:40:15.809789', '15:40:15.972856', '15:40:16.136070']"
2025-09-04,15:40:26.650821,15:40:30.472305,00082ED4D6,L1,go,2,7KHZ.npz,miss,"['15:40:28.628879', '15:40:28.873643']"
2025-09-04,15:40:34.392796,15:40:42.714106,00082ED4D6,L1,no-go,3,14KHZ.npz,fa,"['15:40:35.090006', '15:40:35.255019', '15:40:35.419045', '15:40:35.582227', '15:40:35.745711', '15:40:35.908866']"
2025-09-04,15:40:44.230448,15:40:48.052111,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:40:51.100947,15:40:54.916320,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:40:56.564260,15:41:00.384265,00082ED4D6,L1,go,2,7KHZ.npz,miss,"['15:40:57.250804', '15:40:57.415979', '15:40:57.579760']"
2025-09-04,15:41:08.391241,15:41:10.664796,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:41:09.002703', '15:41:09.167550', '15:41:09.332461', '15:41:09.496387', '15:41:09.660320', '15:41:09.823259']"
2025-09-04,15:41:23.600117,15:41:27.430526,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:41:29.510813,15:41:33.319913,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:41:36.556766,15:41:40.384306,00082ED4D6,L1,go,2,7KHZ.npz,miss,[]
2025-09-04,15:41:47.987577,15:41:51.822432,00082ED4D6,L1,go,2,7KHZ.npz,miss,[]
2025-09-04,15:41:53.577661,15:41:57.385328,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:41:58.905761,15:42:01.265417,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:41:59.517600', '15:41:59.682332', '15:41:59.847139', '15:42:00.011712', '15:42:00.256426', '15:42:00.421063']"
2025-09-04,15:42:03.992003,15:42:07.801581,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['15:42:04.120591']
2025-09-04,15:42:09.041534,15:42:12.847299,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:42:16.691355,15:42:18.738775,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:42:16.901104', '15:42:17.064464', '15:42:17.310590', '15:42:17.555425', '15:42:17.722398', '15:42:17.885932']"
2025-09-04,15:42:21.067671,15:42:24.806378,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:42:27.143714,15:42:29.514988,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:42:27.589742', '15:42:27.832693', '15:42:28.079282', '15:42:28.246477', '15:42:28.493282', '15:42:28.659682']"
2025-09-04,15:42:31.973761,15:42:33.893876,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:42:32.028167', '15:42:32.191439', '15:42:32.354668', '15:42:32.518236', '15:42:32.762281', '15:42:33.007779']"
2025-09-04,15:42:36.283336,15:42:38.166474,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:42:36.417584', '15:42:36.661052', '15:42:36.824198', '15:42:36.987678', '15:42:37.151119', '15:42:37.315018']"
2025-09-04,15:42:42.437643,15:42:46.264535,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['15:42:44.259407']
2025-09-04,15:42:47.743919,15:42:51.555053,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-04,15:42:54.479142,15:42:57.098597,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:42:55.439433', '15:42:55.602490', '15:42:55.765565', '15:42:55.928703', '15:42:56.091979', '15:42:56.256189']"
2025-09-04,15:43:01.719054,15:43:04.168077,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:43:02.405777', '15:43:02.570531', '15:43:02.815967', '15:43:02.979922', '15:43:03.144939', '15:43:03.308586']"
2025-09-04,15:43:06.225504,15:43:15.365902,00082ED4D6,L1,no-go,3,14KHZ.npz,fa,"['15:43:07.150521', '15:43:07.316625', '15:43:07.881909', '15:43:08.127435', '15:43:08.372689', '15:43:08.537544']"
2025-09-04,15:43:20.852224,15:43:24.651943,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['15:43:23.717459']
2025-09-04,15:43:26.045468,15:43:29.933993,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['15:43:26.743423', '15:43:29.073442']"
2025-09-04,15:43:32.695052,15:43:34.999746,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:43:33.254400', '15:43:33.417241', '15:43:33.580876', '15:43:33.745711', '15:43:33.991603', '15:43:34.157083']"
2025-09-04,15:43:37.497251,15:43:39.848802,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:43:38.190742', '15:43:38.354538', '15:43:38.518540', '15:43:38.681597', '15:43:38.844707', '15:43:39.009247']"
2025-09-04,15:43:41.721205,15:43:43.665772,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:43:41.948362', '15:43:42.111750', '15:43:42.277377', '15:43:42.444560', '15:43:42.607794', '15:43:42.851378']"
2025-09-04,15:43:50.115675,15:43:52.415984,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['15:43:50.645730', '15:43:50.809996', '15:43:50.974754', '15:43:51.220638', '15:43:51.386299', '15:43:51.551981']"
2025-09-04,15:43:57.732524,15:44:01.639792,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
