date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-08-14,11:55:14.085950,11:55:16.421165,000799EB9B,L1,go,2,7KHZ.npz,hit,"['11:55:14.788394', '11:55:15.036838', '11:55:15.202555', '11:55:15.366913', '11:55:15.538298']"
2025-08-14,11:55:21.075153,11:55:23.419110,000799EB9B,L1,go,2,7KHZ.npz,hit,"['11:55:21.777947', '11:55:21.944113', '11:55:22.109666', '11:55:22.355663', '11:55:22.521945']"
2025-08-14,11:55:30.195618,11:55:32.519588,000799EB9B,L1,go,2,7KHZ.npz,hit,"['11:55:30.904176', '11:55:31.068967', '11:55:31.234531', '11:55:31.480192', '11:55:31.644587']"
2025-08-14,11:55:34.135187,11:55:43.199242,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['11:55:35.558184', '11:55:35.722518', '11:55:35.886883', '11:55:36.131683', '11:55:36.296273']"
2025-08-14,11:57:30.407528,11:57:34.328156,00082ECFD2,L1,go,2,7KHZ.npz,miss,[]
2025-08-14,11:59:00.637358,11:59:04.638363,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['11:59:00.693802', '11:59:00.944453', '11:59:01.188544', '11:59:01.594004']"
2025-08-14,12:01:23.908134,12:01:27.881610,00082ECFD2,L1,go,2,7KHZ.npz,miss,[]
2025-08-14,12:01:30.834300,12:01:34.817490,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-14,12:01:58.720206,12:02:02.649581,00082ECFD2,L1,go,2,7KHZ.npz,miss,[]
2025-08-14,12:02:08.664370,12:02:12.599163,00082ECFD2,L1,go,2,7KHZ.npz,miss,"['12:02:08.790409', '12:02:09.036129']"
2025-08-14,12:03:48.051144,12:03:51.962000,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-14,12:03:53.286124,12:03:57.218947,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-14,12:13:33.861399,12:13:37.803168,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
