date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-08-21,12:16:39.616077,12:16:42.012771,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:16:40.160065', '12:16:40.486122', '12:16:40.732537', '12:16:40.897098', '12:16:41.141097']"
2025-08-21,12:16:47.932226,12:16:50.111443,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:16:48.474006', '12:16:48.721245', '12:16:48.887251', '12:16:49.133063', '12:16:49.297563']"
2025-08-21,12:16:52.111552,12:17:01.159438,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['12:16:53.280833', '12:16:53.845398', '12:16:54.010732', '12:16:54.174774', '12:16:54.339014']"
2025-08-21,12:17:02.381569,12:17:05.081519,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:17:03.397902', '12:17:03.562263', '12:17:03.806678', '12:17:03.973474', '12:17:04.219076']"
2025-08-21,12:17:10.795476,12:17:14.172293,000799EB9B,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-21,12:17:16.204895,12:17:19.565784,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-08-21,12:18:04.633327,12:18:08.012012,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-08-21,12:18:10.104827,12:18:13.512453,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-08-21,12:18:20.788564,12:18:24.184946,000799EB9B,L1,no-go,3,14KHZ.npz,cr,"['12:18:21.406953', '12:18:21.651884', '12:18:21.820409', '12:18:21.986298']"
2025-08-21,12:18:25.862078,12:18:27.826614,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:18:26.304354', '12:18:26.470769', '12:18:26.636340', '12:18:26.801623', '12:18:26.966368']"
2025-08-21,12:18:29.623535,12:18:37.560551,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['12:18:30.078346', '12:18:30.242829', '12:18:30.410984', '12:18:30.575836', '12:18:30.741233']"
2025-08-21,12:18:38.960677,12:18:46.941051,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['12:18:39.408794', '12:18:39.654708', '12:18:39.819198', '12:18:39.983448', '12:18:40.147741']"
2025-08-21,12:18:48.163837,12:18:50.031011,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:18:48.382999', '12:18:48.629075', '12:18:48.794377', '12:18:49.040816', '12:18:49.205054']"
2025-08-21,12:19:05.524608,12:19:08.453651,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:19:06.760132', '12:19:06.924400', '12:19:07.171353', '12:19:07.335911', '12:19:07.580394']"
2025-08-21,12:19:09.801332,12:19:18.072045,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['12:19:10.498730', '12:19:10.664064', '12:19:10.828209', '12:19:10.992316', '12:19:11.236778']"
2025-08-21,12:19:19.334549,12:19:22.732552,000799EB9B,L1,no-go,3,14KHZ.npz,cr,"['12:19:20.024980', '12:19:20.190192', '12:19:20.434689', '12:19:20.759455']"
2025-08-21,12:19:26.682444,12:19:30.141950,000799EB9B,L1,no-go,3,14KHZ.npz,cr,"['12:19:28.081774', '12:19:28.326606', '12:19:28.492561']"
2025-08-21,12:19:34.899833,12:19:43.555903,000799EB9B,L1,no-go,3,14KHZ.npz,fa,"['12:19:35.997276', '12:19:36.164424', '12:19:36.331380', '12:19:36.498273', '12:19:36.744104']"
2025-08-21,12:19:46.768586,12:19:50.152208,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-08-21,12:19:52.677208,12:19:55.218428,000799EB9B,L1,go,2,7KHZ.npz,hit,"['12:19:53.536356', '12:19:53.784093', '12:19:53.956234', '12:19:54.120515', '12:19:54.364629']"
2025-08-21,12:22:55.474396,12:22:58.837767,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['12:22:56.163304']
2025-08-21,12:23:01.244307,12:23:10.229796,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['12:23:02.087903', '12:23:02.251922', '12:23:02.576298', '12:23:03.062392', '12:23:03.387102']"
2025-08-21,12:24:17.463361,12:24:20.845097,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['12:24:18.242200']
2025-08-21,12:26:14.484500,12:26:17.859139,00082ECFD2,L1,go,2,7KHZ.npz,miss,"['12:26:15.010610', '12:26:15.178549', '12:26:15.823479', '12:26:16.229584']"
2025-08-21,14:47:45.946257,14:47:49.377626,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
