Level Name,Stimulus Path,Probability,Value,Index
L1,/home/educage/git_educage2/educage2/pythonProject1/pure_tone_400.wav,45,go,1
L1,/home/educage/git_educage2/educage2/pythonProject1/pure_tone_1000.wav,45,no-go,2
L1,/home/educage/git_educage2/educage2/pythonProject1/pure_tone_1000.wav,10,catch,3
L2,/home/educage/git_educage2/educage2/pythonProject1/pure_tone_600.wav,45,go,4
L2,/home/educage/git_educage2/educage2/pythonProject1/pure_tone_800.wav,45,no-go,5
L2,/home/educage/git_educage2/educage2/pythonProject1/pure_tone_1000.wav,10,catch,6
