Level Name,Stimulus Path,Probability,Value,Index
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/7-07.npz,1,go,1
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/11-74.npz,2,no-go,2
2B_1T,/home/educage/git_educage2/educage2/pythonProject1/stimuli/21-21.npz,1,go,3
